497 380 0
489 435 0
460 326 0
434 288 0
558 356 0
607 364 0
408 375 0
381 357 0
558 280 0
627 531 0
600 508 0
652 500 0
554 510 0
539 502 0
546 586 0
575 656 0
646 703 0
659 718 0
614 214 0
540 154 0
564 99 0
594 44 0
506 36 0
748 484 0
723 232 0
771 319 0
835 252 0
909 235 0
881 353 0
856 428 0
846 462 0
814 406 0
976 365 0
931 519 0
932 539 0
956 565 0
889 67 0
951 101 0
927 106 0
883 122 0
783 49 0
808 62 0
747 10 0
722 75 0
430 576 0
402 171 0
399 168 0
366 184 0
318 218 0
299 139 0
185 43 0
212 59 0
263 14 0
776 671 0
836 667 0
860 768 0
919 791 0
796 866 0
752 849 0
842 896 0
795 941 0
821 955 0
905 912 0
901 968 0
888 958 0
954 908 0
970 895 0
162 297 0
95 348 0
67 330 0
97 401 0
123 399 0
176 185 0
170 568 0
170 573 0
175 609 0
164 597 0
252 596 0
245 499 0
34 510 0
66 549 0
31 622 0
592 940 0
633 912 0
611 987 0
504 835 0
197 944 1
211 920 1
145 978 1
275 856 1
303 952 1
311 927 1
330 971 1
347 742 1
337 782 1
21 822 1
66 851 1
62 911 1
18 169 2
21 133 2

