0 497  380  
1 489  435  
2 889  67  
3 776  671  
4 197  944  
5 796  866  
6 842  896  
7 795  941  
8 783  49  
9 931  519  
10 21  822  
11 347  742  
12 723  232  
13 162  297  
14 646  703  
15 66  851  
16 402  171  
17 275  856  
18 956  565  
19 95  348  
20 627  531  
21 905  912  
22 170  568  
23 652  500  
24 430  576  
25 932  539  
26 592  940  
27 175  609  
28 546  586  
29 554  510  
30 145  978  
31 771  319  
32 558  280  
33 18  169  
34 748  484  
35 558  356  
36 185  43  
37 881  353  
38 821  955  
39 835  252  
40 540  154  
41 408  375  
42 611  987  
43 856  428  
44 381  357  
45 633  912  
46 506  36  
47 575  656  
48 252  596  
49 951  101  
50 97  401  
51 303  952  
52 311  927  
53 909  235  
54 67  330  
55 954  908  
56 976  365  
57 836  667  
58 600  508  
59 814  406  
60 860  768  
61 752  849  
62 539  502  
63 62  911  
64 460  326  
65 34  510  
66 212  59  
67 808  62  
68 366  184  
69 901  968  
70 21  133  
71 31  622  
72 594  44  
73 659  718  
74 614  214  
75 888  958  
76 607  364  
77 919  791  
78 123  399  
79 927  106  
80 846  462  
81 722  75  
82 299  139  
83 970  895  
84 164  597  
85 337  782  
86 330  971  
87 434  288  
88 170  573  
89 883  122  
90 318  218  
91 263  14  
92 399  168  
93 245  499  
94 211  920  
95 747  10  
96 66  549  
97 504  835  
98 176  185  
99 564  99  
100 979  734  
